"","Symbol","freq_bill_code","freq_customer_code","FullName"
"3145","591",4,5,"中节能太阳能股份有限公司"
"3150","592",1,1,"中福海峡(平潭)发展股份有限公司"
"3152","597",5,29,"东北制药集团股份有限公司"
"3164","599",42,43,"青岛双星股份有限公司"
"3207","600",4,4,"河北建投能源投资股份有限公司"
"3212","601",4,4,"广东韶能集团股份有限公司"
"3216","603",1,1,"盛达矿业股份有限公司"
"3217","606",1,1,"顺利办信息服务股份有限公司"
"3218","609",1,1,"北京中迪投资股份有限公司"
"3220","610",10,10,"西安旅游股份有限公司"
"3230","615",1,1,"京汉实业投资集团股份有限公司"
"3231","616",1,1,"海航投资集团股份有限公司"
"3233","617",1,1,"中国石油集团资本股份有限公司"
"3234","619",3,3,"芜湖海螺型材科技股份有限公司"
"3236","619",3,3,"芜湖海螺型材料科技股份有限公司"
"3239","622",1,1,"恒立实业发展集团股份有限公司"
"3240","623",5,5,"吉林敖东药业集团股份有限公司"
"3245","625",6,6,"重庆长安汽车股份有限公司"
"3251","627",1,1,"天茂实业集团股份有限公司"
"3252","629",3,3,"攀钢集团钒钛资源股份有限公司"
"3255","630",6,7,"铜陵有色金属集团股份有限公司"
"3266","632",7,7,"福建三木集团股份有限公司"
"3273","635",2,2,"宁夏英力特化工股份有限公司"
"3276","636",12,12,"广东风华高新科技股份有限公司"
"3290","639",3,3,"西王食品股份有限公司"
"3293","650",14,17,"仁和药业股份有限公司"
"3310","651",10,54,"珠海格力电器股份有限公司"
"3411","652",1,1,"天津泰达股份有限公司"
"3413","656",1,1,"金科地产集团股份有限公司"
"3415","657",1,1,"中钨高新材料股份有限公司"
"3417","659",3,3,"珠海中富实业股份有限公司"
"3421","662",1,1,"天夏智慧城市科技股份有限公司"
"3423","665",4,4,"湖北省广播电视信息网络股份有限公司"
"3431","666",15,15,"经纬纺织机械股份有限公司"
"3452","669",2,2,"金鸿控股集团股份有限公司"
"3454","670",4,4,"盈方微电子股份有限公司"
"3458","671",2,2,"阳光城集团股份有限公司"
"3461","672",1,1,"甘肃上峰水泥股份有限公司"
"3463","676",1,1,"智度科技股份有限公司"
"3465","677",1,1,"恒天海龙股份有限公司"
"3466","678",1,1,"襄阳汽车轴承股份有限公司"
"3468","680",3,3,"山推工程机械股份有限公司"
"3473","681",2,9,"视觉(中国)文化发展股份有限公司"
"3476","682",3,3,"东方电子股份有限公司"
"3481","683",1,1,"内蒙古远兴能源股份有限公司"
"3482","686",23,23,"东北证券股份有限公司"
"3507","687",1,1,"华讯方舟股份有限公司"
"3509","688",3,3,"建新矿业股份有限责任公司"
"3511","688",3,3,"国城矿业股份有限公司"
"3513","690",2,2,"广东宝丽华新能源股份有限公司"
"3517","698",127,307,"沈阳化工股份有限公司"
"3652","700",1,1,"江南模塑科技股份有限公司"
"3654","701",5,5,"厦门信达股份有限公司"
"3661","703",1,1,"恒逸石化股份有限公司"
"3662","705",2,2,"浙江震元股份有限公司"
"3665","707",1,1,"湖北双环科技股份有限公司"
"3666","708",2,2,"大冶特殊钢股份有限公司"
"3669","709",4,4,"河钢股份有限公司"
"3674","711",1,1,"京蓝科技股份有限公司"
"3676","713",1,1,"合肥丰乐种业股份有限公司"
"3678","716",2,2,"南方黑芝麻集团股份有限公司"
"3682","717",1,1,"广东韶钢松山股份有限公司"
"3684","718",5,5,"苏宁环球股份有限公司"
"3689","720",1,1,"山东新能泰山发电股份有限公司"
"3691","721",1,1,"西安饮食股份有限公司"
"3692","722",292,5172,"湖南发展集团股份有限公司"
"4004","723",5,5,"山西美锦能源股份有限公司"
"4012","725",2,36,"京东方科技集团股份有限公司"
"4017","726",5,67,"鲁泰纺织股份有限公司"
"4027","728",52,52,"国元证券股份有限公司"
"4129","732",128,190,"泰禾集团股份有限公司"
"4264","733",1,1,"中国振华(集团)科技股份有限公司"
"4266","735",7,8,"罗牛山股份有限公司"
"4274","736",12,4424,"中交地产股份有限公司"
"4287","737",2,2,"南风化工集团股份有限公司"
"4290","738",1,1,"中国航发动力控制股份有限公司"
"4292","739",1,1,"普洛药业股份有限公司"
"4294","750",20,20,"国海证券股份有限公司"
"4315","751",3,3,"葫芦岛锌业股份有限公司"
"4321","753",1,1,"福建漳州发展股份有限公司"
"4323","755",6,6,"山西三维集团股份有限公司"
"4330","756",2,3,"山东新华制药股份有限公司"
"4335","757",1,1,"四川浩物机电股份有限公司"
"4337","758",3,3,"中国有色金属建设股份有限公司"
"4340","759",1,1,"中百控股集团股份有限公司"
"4342","760",1,1,"斯太尔动力股份有限公司"
"4343","766",3,3,"通化金马药业集团股份有限公司"
"4349","767",3,3,"山西漳泽电力股份有限公司"
"4352","768",3,667,"中航飞机股份有限公司"
"4356","776",111,203,"广发证券股份有限公司"
"4562","777",2,3,"中核苏阀科技实业股份有限公司"
"4566","778",31,31,"新兴铸管股份有限公司"
"4602","779",6,6,"兰州三毛实业股份有限公司"
"4611","782",3,3,"广东新会美达锦纶股份有限公司"
"4615","783",133,144,"长江证券股份有限公司"
"4742","783",133,144,"长江证劵股份有限公司"
"4744","783",133,144,"长江证券股份有限公司河北分公司"
"4776","785",44,1219,"武汉中商集团股份有限公司"
"4823","786",11,11,"北新集团建材股份有限公司"
"4835","788",27,626,"北大医药股份有限公司"
"4867","789",2,2,"江西万年青水泥股份有限公司"
"4869","793",3,3,"华闻传媒投资集团股份有限公司"
"4874","795",1,1,"英洛华科技股份有限公司"
"4875","797",2,2,"中国武夷实业股份有限公司"
"4879","798",2,2,"中水集团远洋股份有限公司"
"4883","799",3,4,"酒鬼酒股份有限公司"
"4887","800",2,2,"一汽轿车股份有限公司"
"4889","802",1,1,"北京京西文化旅游股份有限公司"
"4891","806",1,1,"北海银河生物产业投资股份有限公司"
"4893","807",1,1,"云南铝业股份有限公司"
"4895","810",2,2,"创维数字股份有限公司"
"4897","815",1,1,"中冶美利云产业投资股份有限公司"
"4899","816",1,1,"江苏农华智慧农业科技股份有限公司"
"4901","818",2,2,"方大锦化化工科技股份有限公司"
"4902","818",2,2,"航锦科技股份有限公司"
"4904","819",1,1,"岳阳兴长石化股份有限公司"
"4906","821",1,1,"湖北京山轻工机械股份有限公司"
"4908","822",1,2,"山东海化股份有限公司"
"4912","823",2,2,"广东汕头超声电子股份有限公司"
"4916","825",2,2,"山西太钢不锈钢股份有限公司"
"4918","826",1,4,"启迪桑德环境资源股份有限公司"
"4926","830",2,11,"鲁西化工集团股份有限公司"
"4930","833",2,2,"广西贵糖(集团)股份有限公司"
"4931","833",2,2,"广西粤桂广业控股股份有限公司"
"4933","836",2,2,"天津鑫茂科技股份有限公司"
"4935","836",2,2,"天津富通鑫茂科技股份有限公司"
"4936","837",5,5,"秦川机床工具集团股份公司"
"4944","838",2,2,"财信国兴地产发展股份有限公司"
"4946","838",2,2,"财信地产发展集团股份有限公司"
"4947","839",1,1,"中信国安信息产业股份有限公司"
"4949","848",9,10,"河北承德露露股份有限公司"
"4969","850",1,5,"安徽华茂纺织股份有限公司"
"4971","851",1,1,"大唐高鸿数据网络技术股份有限公司"
