,Symbol,FullName,source,bill_code,customer_code,fullname
68,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODE1MjE5NQ==',中信银行股份有限公司北京分行
69,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODM4NjIzMw==',中信银行股份有限公司北京分行
70,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODg5ODQ1Mw==',中信银行股份有限公司北京分行
71,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODk2MTgwOQ==',中信银行股份有限公司北京分行
72,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTE2ODY5OA==',中信银行股份有限公司北京分行
73,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTM1NTY1Mg==',中信银行股份有限公司北京分行
74,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTQxMTU2Nw==',中信银行股份有限公司北京分行
75,2410,广联达科技股份有限公司,2,b'MDEwMDAwMjI0Ng==',b'MDEwMDAwMjI0Ng==',广联达科技股份有限公司
76,776,广发证券股份有限公司,2,b'MDEwMDAwMjc3MQ==',b'MDEwMDAwMjc3MQ==',广发证券股份有限公司北京分公司
77,300463,迈克生物,1,b'MDEwMDAwMzA4Ng==',b'MDEwMDAwMzA4Ng==',迈克生物股份有限公司
78,2,万科企业股份有限公司,2,b'MDEwMDAwMzQxNA==',b'MDEwMDAwMzQxNA==',万科企业股份有限公司
79,2581,山东未名生物医药股份有限公司,2,b'MDEwMDAwMzQzOA==',b'MDEwMDAwMzQzOA==',山东未名生物医药股份有限公司
80,686,东北证券,1,b'MDEwMDAwMzYxNg==',b'MDEwMDAwMzYxNg==',东北证券股份有限公司
81,603979,金诚信矿业管理股份有限公司,2,b'MDEwMDAwNDIxNQ==',b'MDEwMDAwNDIxNQ==',金诚信矿业管理股份有限公司
82,300249,依米康,1,b'MDEwMDAwNDIzOQ==',b'MDEwMDAwNDIzOQ==',依米康科技集团股份有限公司
83,600429,北京三元食品股份有限公司,2,b'MDEwMDAwNTI2Mg==',b'MDEwMDAwNTI2Mg==',北京三元食品股份有限公司
84,300430,北京诚益通控制工程科技股份有限公司,2,b'MDEwMDAwNTU3MQ==',b'MDEwMDAwNTU3MQ==',北京诚益通控制工程科技股份有限公司
85,776,广发证券股份有限公司,2,b'MDEwMDAwNTU4Nw==',b'MDEwMDAwNTU4Nw==',广发证券股份有限公司北京分公司
86,601988,中国银行股份有限公司,2,b'MDEwMDAwNTc2OA==',b'MDEwMDAwNTc2OA==',中国银行股份有限公司北京大兴支行
87,300550,和仁科技,1,b'MDEwMDAwNTkxMQ==',b'MDEwMDAwNTkxMQ==',浙江和仁科技股份有限公司
88,2736,国信证券股份有限公司,2,b'MDEwMDAwNTk2MQ==',b'MDEwMDAwNTk2MQ==',国信证券股份有限公司北京分公司
89,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE0Mg==',国信证券股份有限公司北京三里河路证券营业部
90,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE0Ng==',国信证券股份有限公司北京三里河路证券营业部
91,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE1MA==',国信证券股份有限公司北京三里河路证券营业部
92,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE1MQ==',国信证券股份有限公司北京三里河路证券营业部
93,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE1Mw==',国信证券股份有限公司北京三里河路证券营业部
94,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE2MA==',国信证券股份有限公司北京三里河路证券营业部
95,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE2Ng==',国信证券股份有限公司北京三里河路证券营业部
96,2736,国信证券股份有限公司,3,b'MDEwMDAwNTk2MQ==',b'MDEwMDAyMjE3Ng==',国信证券股份有限公司北京三里河路证券营业部
97,860,北京顺鑫农业股份有限公司,2,b'MDEwMDAwODQ5NA==',b'MDEwMDAwODQ5NA==',北京顺鑫农业股份有限公司鹏程食品分公司
98,601169,北京银行股份有限公司,2,b'MDEwMDAwOTE1MA==',b'MDEwMDAwOTE1MA==',北京银行股份有限公司中关村海淀园支行
99,2612,朗姿股份有限公司,2,b'MDEwMDAwOTYyMw==',b'MDEwMDAwOTYyMw==',朗姿股份有限公司
100,600435,北方导航控制技术股份有限公司,2,b'MDEwMDAwOTYzMA==',b'MDEwMDAwOTYzMA==',北方导航控制技术股份有限公司
101,600000,上海浦东发展银行股份有限公司,2,b'MDEwMDAwOTg2NA==',b'MDEwMDAwOTg2NA==',上海浦东发展银行股份有限公司北京分行（简称：上海浦东发展银行北京分行)
102,600166,北汽福田汽车股份有限公司,2,b'MDEwMDAwOTk1OQ==',b'MDEwMDAwOTk1OQ==',北汽福田汽车股份有限公司北京欧马可汽车销售分公司
103,601858,中国科技出版传媒股份有限公司,2,b'MDEwMDAxMDExMA==',b'MDEwMDAxMDExMA==',中国科技出版传媒股份有限公司
104,601901,方正证券股份有限公司,2,b'MDEwMDAxMDIxNQ==',b'MDEwMDAxMDIxNQ==',方正证券股份有限公司北京丰台西局欣园证券营业部
105,2268,卫士通,1,b'MDEwMDAxMDIxOA==',b'MDEwMDAxMDIxOA==',成都卫士通信息产业股份有限公司
106,798,中水集团远洋股份有限公司,2,b'MDEwMDAxMDM5NQ==',b'MDEwMDAxMDM5NQ==',中水集团远洋股份有限公司
107,300471,成都华气厚普机电设备股份有限公司,2,b'MDEwMDAxMDc4OQ==',b'MDEwMDAxMDc4OQ==',成都华气厚普机电设备股份有限公司
108,2130,深圳市沃尔核材股份有限公司,2,b'MDEwMDAxMDk3OQ==',b'MDEwMDAxMDk3OQ==',深圳市沃尔核材股份有限公司
109,600429,北京三元食品股份有限公司,2,b'MDEwMDAxMTg2Mg==',b'MDEwMDAxMTg2Mg==',北京三元食品股份有限公司
110,601669,中国电力建设股份有限公司,2,b'MDEwMDAxMTk3Nw==',b'MDEwMDAxMTk3Nw==',中国电力建设股份有限公司
111,600723,北京首商集团股份有限公司,2,b'MDEwMDAxMjI2Ng==',b'MDEwMDAxMjI2Ng==',北京首商集团股份有限公司西单商场
112,600000,上海浦东发展银行股份有限公司,2,b'MDEwMDAxMjQxMw==',b'MDEwMDAxMjQxMw==',上海浦东发展银行股份有限公司北京分行（简称：上海浦东发展银行北京分行）
113,600919,江苏银行股份有限公司,2,b'MDI1NTAzNjExMg==',b'MDEwMDAxMjk3Mg==',江苏银行股份有限公司北京分行
114,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'MDIxMDAxMzQ3NQ==',江苏银行股份有限公司
115,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'MDI1NTAzNjExMg==',江苏银行股份有限公司
116,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'MDI1NTAzNjQ5Ng==',江苏银行股份有限公司
117,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTEwMzM1MTAyNQ==',江苏银行股份有限公司无锡分行
118,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTExMTY3OTQ1MA==',江苏银行股份有限公司镇江分行
119,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTEyNTg0ODgxNQ==',江苏银行股份有限公司苏州分行
120,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTEzMzA1OTM0OQ==',江苏银行股份有限公司南通分行
121,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE0MTg2Mzk0Mg==',江苏银行股份有限公司扬州分行
122,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE1MDUzMDIwMg==',江苏银行股份有限公司盐城分行
123,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE2MDY3OTAyNw==',江苏银行股份有限公司徐州分行
124,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE3MDQ1MTE0NA==',江苏银行股份有限公司淮安分行
125,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE4MDQwNTgwOA==',江苏银行股份有限公司连云港分行
126,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTE5MjU3MDUwNA==',江苏银行股份有限公司常州分行
127,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTIzMTMwODI2Mw==',江苏银行股份有限公司泰州分行
128,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTIzMTQzMDc3Ng==',江苏银行股份有限公司
129,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTIzMTQzMTAwNQ==',江苏银行股份有限公司泰州分行
130,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTI3MDMyNDUzOQ==',江苏银行股份有限公司宿迁分行
131,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NTcxNzA3OTAwNQ==',江苏银行股份有限公司杭州分行
132,600919,江苏银行股份有限公司,3,b'MDI1NTAzNjExMg==',b'NzU1MDAxNzUxNA==',江苏银行股份有限公司深圳分行
133,2909,广州集泰化工股份有限公司,2,b'MDEwMDAxNDA1Ng==',b'MDEwMDAxNDA1Ng==',广州集泰化工股份有限公司
134,601901,方正证券,1,b'MDEwODE0NDUxNA==',b'MDEwMDAxNDI1MA==',方正证券股份有限公司
135,601901,方正证券,3,b'MDEwODE0NDUxNA==',b'MDEwODE0NDUxNA==',方正证券股份有限公司
136,601901,方正证券,3,b'MDEwODE0NDUxNA==',b'MDEwODE0NDU2Nw==',方正证券股份有限公司
137,601901,方正证券,3,b'MDEwODE0NDUxNA==',b'MDEwODE0NDYxNw==',方正证券股份有限公司
138,300182,北京捷成世纪科技股份有限公司,2,b'MDEwMDAxNDYwNg==',b'MDEwMDAxNDYwNg==',北京捷成世纪科技股份有限公司
139,1,平安银行股份有限公司,2,b'MDEwMDAxNDc4OQ==',b'MDEwMDAxNDc4OQ==',平安银行股份有限公司信用卡中心(简称：平安银行信用卡中心)
140,600030,中信证券股份有限公司,2,b'MDEwMDAxNDgwMA==',b'MDEwMDAxNDgwMA==',中信证券股份有限公司北京三元桥证券营业部
141,600016,中国民生银行股份有限公司,2,b'MDEwMDAxNTU5Ng==',b'MDEwMDAxNTU5Ng==',中国民生银行股份有限公司
142,600016,中国民生银行股份有限公司,2,b'MDEwMDAxNTg4MQ==',b'MDEwMDAxNTg4MQ==',中国民生银行股份有限公司
143,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDEwMDAyMDUzMw==',中国民生银行股份有限公司北京分行
144,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIwMDAxMDI1OQ==',中国民生银行股份有限公司广州分行
145,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIwMDAxMDI2Mg==',中国民生银行股份有限公司广东自贸试验区南沙分行
146,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIxMDAyMjU1NA==',中国民生银行股份有限公司上海分行
147,600016,中国民生银行股份有限公司,3,b'MDEwMDAxNTg4MQ==',b'MDIxMDAyMjU1Nw==',中国民生银行股份有限公司上海自贸区
