,Symbol,FullName,source,bill_code,customer_code.y,b.fullname,flag
29070,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTAzMw==',中信银行股份有限公司北京分行,1
29071,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTE0MQ==',中信银行股份有限公司北京分行,1
29072,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTIzNw==',中信银行股份有限公司北京分行,1
29073,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTQwNA==',中信银行股份有限公司北京分行,1
29074,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTUzNw==',中信银行股份有限公司北京分行,1
29075,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNTkyNTU3MQ==',中信银行股份有限公司北京分行,1
29076,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU2NQ==',中信银行股份有限公司北京分行,1
29077,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU3NQ==',中信银行股份有限公司北京分行,1
29078,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzU4OQ==',中信银行股份有限公司北京分行,1
29079,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzYwMg==',中信银行股份有限公司北京分行,1
29080,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNjA0NzYwOA==',中信银行股份有限公司北京分行,1
29081,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwNzkxMTc4OQ==',中信银行股份有限公司北京分行,1
29082,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODA4OTAxNQ==',中信银行股份有限公司北京分行,1
29083,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODE1MjE5NQ==',中信银行股份有限公司北京分行,1
29084,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODM4NjIzMw==',中信银行股份有限公司北京分行,1
29085,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODg5ODQ1Mw==',中信银行股份有限公司北京分行,1
29086,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwODk2MTgwOQ==',中信银行股份有限公司北京分行,1
29087,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTE2ODY5OA==',中信银行股份有限公司北京分行,0
29088,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTM1NTY1Mg==',中信银行股份有限公司北京分行,1
29089,601998,中信银行股份有限公司,3,b'MDEwOTE2ODY5OA==',b'MDEwOTQxMTU2Nw==',中信银行股份有限公司北京分行,1
29090,601998,中信银行股份有限公司,2,b'MDIxNTgxNTg2Mg==',b'MDIxNTgxNTg2Mg==',中信银行股份有限公司上海南汇支行,1
29091,601998,中信银行股份有限公司,2,b'MDIxMDIwMDkxNw==',b'MDIxMDIwMDkxNw==',中信银行股份有限公司上海分行,1
29092,601998,中信银行股份有限公司,3,b'MzUxMDE2NTg2Ng==',b'MzUxMDE2NTg2Ng==',中信银行股份有限公司太原分行,0
29093,601998,中信银行股份有限公司,2,b'MzUxMDE2NTg2Ng==',b'MzUxMDE4NTgwNQ==',中信银行股份有限公司太原分行（个人）,1
29094,601998,中信银行股份有限公司,2,b'MDEwOTIzMDI5MA==',b'MDEwOTIzMDI5MA==',中信银行股份有限公司总行营业部（私）,1
29095,601998,中信银行股份有限公司,2,b'MzE1MTMzODQ4Mg==',b'MzE1MTMzODQ4Mg==',中信银行股份有限公司信用卡中心,1
29096,601998,中信银行股份有限公司,2,b'MDIzMTgzMzE0OA==',b'MDIzMTgzMzE0OA==',中信银行股份有限公司重庆两江支行,1
29097,601998,中信银行股份有限公司,2,b'OTEyMDAyNjI2NQ==',b'OTEyMDAyNjI2NQ==',中信银行股份有限公司榆林分行,1
29098,601998,中信银行股份有限公司,2,b'OTEzMDIwNDg4NA==',b'OTEzMDIwNDg4NA==',中信银行股份有限公司西安分行,1
29099,601998,中信银行股份有限公司,2,b'NTM2MTg5ODkzMQ==',b'NTM2MTg5ODkzMQ==',中信银行股份有限公司潍坊分行子账号,1
29100,601998,中信银行股份有限公司,2,b'MDI0MTkzOTQ3MA==',b'MDI0MTkzOTQ3MA==',中信银行股份有限公司沈阳中山支行,1
29101,601998,中信银行股份有限公司,2,b'MDI0NDIxMDkyNQ==',b'MDI0NDIxMDkyNQ==',中信银行股份有限公司沈阳分行,1
29102,601998,中信银行股份有限公司,2,b'ODkxMDA4MDYwNA==',b'ODkxMDA4MDYwNA==',中信银行股份有限公司拉萨分行,1
29103,601998,中信银行股份有限公司,2,b'Nzc3MDE1MzA5Mg==',b'Nzc3MDE1MzA5Mg==',中信银行股份有限公司钦州分行,1
29104,601998,中信银行股份有限公司,3,b'Nzc3MDE1MzA5Mg==',b'Nzc3MDE1MzA5OQ==',中信银行股份有限公司钦州分行,1
29105,601998,中信银行股份有限公司,2,b'MDI1MTYwMjgxMQ==',b'MDI1MTYwMjgxMQ==',中信银行股份有限公司南京玄武支行,1
29106,601998,中信银行股份有限公司,2,b'MDIwMDAzNDI2MQ==',b'MDIwMDAzNDI2MQ==',中信银行股份有限公司广州分行,1
29107,601998,中信银行股份有限公司,3,b'MDIwMDAzNDI2MQ==',b'MDIwMTIxMjkyMA==',中信银行国际大厦支行,1
29108,601998,中信银行股份有限公司,3,b'MDIwMDAzNDI2MQ==',b'MDIwMzA5NzI0MA==',中信银行股份有限公司广州分行,1
29109,601998,中信银行股份有限公司,3,b'MDIwMDAzNDI2MQ==',b'MDIwNDUzOTMwMQ==',中信银行花园支行,1
29110,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTExMTI1NTQyNw==',中信银行股份有限公司镇江分行,1
29111,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE0MTE5MDkyMA==',中信银行股份有限公司扬州分行,1
29112,601998,中信银行股份有限公司,3,b'NTE5MTM4MzEwOA==',b'NTE5MTIxOTEyOA==',中信银行会计部,1
