,Symbol,FullName,source,bill_code,customer_code.y,b.fullname
70,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'MDI5MTk3ODY1Mw==',中兴通讯股份有限公司
71,000063,中兴通讯,1,b'NTcxNzA5MjM1Nw==',b'NTcxNzA5MjM1Nw==',中兴通讯股份有限公司
72,000063,中兴通讯,1,b'NDMxMjIzMjU3NQ==',b'NDMxMjY4OTkwMQ==',中兴通讯股份有限公司长春办事处
73,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'MDI0NDQ2MjcwMQ==',中兴通讯股份有限公司
74,000063,中兴通讯,1,b'MDI1MTk5MjU4OQ==',b'MDI1MTk5MjU4OQ==',中兴通讯股份有限公司
75,000063,中兴通讯,1,b'NzU1NTMxMTA2MQ==',b'NzU1NTMxMTA2MQ==',中兴通讯股份有限公司
76,000063,中兴通讯,1,b'NzkxMDcxMzMyNQ==',b'NzkxMDcxMzMyNQ==',中兴通讯股份有限公司
77,000063,中兴通讯,1,b'ODUxMTM3MzU5OA==',b'ODUxMTM3MzU5OA==',中兴通讯股份有限公司
78,000063,中兴通讯,1,b'OTkxMDY1NzkxMw==',b'OTkxMDY1NzkxMw==',中兴通讯股份有限公司
79,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'MDI4Njc2NzA0Mw==',成都中邮高讯科技发展有限公司
80,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'NDcxMDgxNDQyOA==',中兴通讯股份有限公司
81,000063,中兴通讯,1,b'NTkxMjA4MTU1NQ==',b'NTkxMjA4MTU1NQ==',中兴通讯股份有限公司
82,000063,中兴通讯,1,b'ODUxMTM3NDk3Ng==',b'ODUxMTM3NDk3Ng==',中兴通讯股份有限公司
83,000063,中兴通讯,1,b'ODkxMDA5ODgyMA==',b'ODkxMDA5ODgyMA==',中兴通讯股份有限公司驻拉萨办事处
84,000063,中兴通讯,1,b'NzkxMDI3NjkwNw==',b'NzkxMDI3NjkwNw==',中兴通讯股份有限公司
85,000063,中兴通讯,1,b'NzkxMDMwMTgyNQ==',b'NzkxMDMwMTgyNQ==',中兴通讯股份有限公司
86,000063,中兴通讯,1,b'ODUxMDYzNTEyOQ==',b'ODUxMDYzNTEyOQ==',中兴通讯股份有限公司
87,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'ODUxMTM3MjYxMA==',中兴通讯股份有限公司
88,000063,中兴通讯,1,b'NDMxMjIzMjU3NQ==',b'NDMxMjY4OTg5Mw==',中兴通讯股份有限公司长春办事处
89,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDI5NDU2NTcwNw==',中兴通讯股份有限公司
90,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'NzU1MTAzOTk4Ng==',中兴通讯股份有限公司
91,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'NzU1NzA1NDEwNQ==',中兴通讯股份有限公司
92,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'ODk4MDQ0OTI4OQ==',中兴通讯股份有限公司
93,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDI1NDM2MzE1MQ==',中兴通讯股份有限公司
94,000063,中兴通讯,1,b'NzU1Mzc5NDczNA==',b'MDI3NTgwNTI4OQ==',中兴通讯股份有限公司
95,000063,中兴通讯,1,b'MzcxMjAzNTM0NA==',b'MzcxMjAzNTM0NA==',中兴通讯股份有限公司
96,000063,中兴通讯,1,b'NzU1MTAzOTk4Ng==',b'NTMxMzQ5MzY0Ng==',中兴通讯股份有限公司
97,000063,中兴通讯,1,b'NTcxMzIyMzk5MQ==',b'NTcxMzIyMzk5MQ==',中兴通讯股份有限公司
98,000063,中兴通讯,1,b'NzMxMjAxNTQwNQ==',b'NzMxMjAxNTQwNQ==',中兴通讯股份有限公司
99,000063,中兴通讯,1,b'NzU1MDk2ODYzNQ==',b'NzU1MDk2ODYzNQ==',中兴通讯股份有限公司
